410451120240,"1.125 CR 1045 (1 1/4 COIL)  X 12' ROUND 1.130-1.125
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410451125144,1-1/8'' CR 1045 X 12'    (1-1/4-5),4MAT
410451130060,1.130 CR 1045 (1 1/4 COIL) X 60'' ROUND,4MAT
410451130144,"1.130 CR 1045 (1 1/4 COIL)  X 12' ROUND 1.130-1.125
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410451130168,1.125 CR 1045 ( 1 1/4 COIL) 1.125-1.130,4MAT
410451148228SR,1.148 CR 1045 (1 1/4-7) X 18' 11'' (227'') STRESS RELIEVED ROUND 1.148,4MAT
410451150144,1.150 CR 1045 (1 1/4-7)  X 12' ROUND,4MAT
410451150144SR,1.150 CR 1045 (1 1/4-7)  X 12' ROUND SR,4MAT
410451150240,1.150 CR 1045 (1 1/4-7)  X 20' ROUND,4MAT
410451150240SR,1.150 CR 1045 (1 1/4-7) X 20' STRESS RELIEVED ROUND 1.149-1.152,4MAT
410451152288,1.152 CR 1045 (1 1/4-7)  X 24' ROUND,4MAT
41045125240,1 1/4'' CR 1045 X 20' ROUND,4MAT
410451263144,1.263 CR 1045 (1 3/8-6)  X 12' C1045 ROUND +.000/-.004,4MAT
410451263234,1.263 CR 1045 X 19' 6'',4MAT
410451263240,1.263 CR 1045 X 20',4MAT
410451263258,1.263 CR 1045 X 21' 6'',4MAT
410451355144,1.355 CR1045 (1 1/2-4 ACME) X 12' ROUND 1.345-1.360,4MAT
410451355162,1.355 CR1045 (1 1/2-4 ACME) x 162'' ROUND 1.345-1.360,4MAT
410451375144,1.375 CR 1045 (1 1/2-6)  X 12' ROUND,4MAT
410451375240,1.375 CR 1045 (1 1/2-6)  X 20' ROUND,4MAT
410451387144,"1.387 CR 1045 (1 1/2-6) X 12' ROUND +.000/-.003
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410451387240,1.387 CR 1045 (1 1/2-6)  X 20' ROUND,4MAT
410451387288,1.387 CR 1045 (1 1/2-6)  X 24' ROUND,4MAT
41045150144HEX,1 1/2 X 12' 1045 HEX,4MAT
41045150240,1 1/2'' CR 1045 X 20' ROUND,4MAT
410451615120,1.615 CR1045 (1 3/4-5) X 10' ROUND  +.000/-.004,4MAT
410451615144,1.615 CR1045 (1 3/4-5) X 12' ROUND  +.000/-.004,4MAT
